SpatialDimensionValueCode,TimeDim,NumericValue
CAF,2011,11.44522
CAF,2012,9.98758
CAF,2013,10.46069
CAF,2014,11.23381
CAF,2015,10.47412
CAF,2016,10.44016
CAF,2017,11.0735
CAF,2018,10.33212
CAF,2019,9.45452
CAF,2020,9.72903
CAF,2021,9.18932
CAN,2000,12.45292
CAN,2001,12.78265
CAN,2002,12.44839
CAN,2003,13.09065
CAN,2004,12.39094
CAN,2005,12.86833
CAN,2006,11.85839
CAN,2007,12.17983
CAN,2008,12.34484
CAN,2009,12.83161
CAN,2010,12.89314
CAN,2011,12.02242
CAN,2012,12.59646
CAN,2013,12.85595
CAN,2014,13.37575
CAN,2015,13.42697
CAN,2016,11.48604
CAN,2017,11.82108
CAN,2018,12.55595
CAN,2019,12.68958
CAN,2020,11.64402
CAN,2021,9.44161
CHE,2000,20.35451
CHE,2001,19.7061
CHE,2002,21.06964
CHE,2003,18.70046
CHE,2004,18.5527
CHE,2005,18.97447
CHE,2006,18.84826
CHE,2007,19.46768
CHE,2008,18.64478
CHE,2009,15.90666
CHE,2010,14.4912
CHE,2011,14.66158
CHE,2012,14.74814
CHE,2013,15.10083
CHE,2014,14.78048
CHE,2015,15.04932
CHE,2016,14.16106
CHE,2017,14.40023
CHE,2018,14.25457
CHE,2019,14.22617
CHE,2020,13.69128
CHE,2021,14.02486
CHL,2000,10.64218
CHL,2001,10.60289
CHL,2002,9.84325
CHL,2003,9.83697
CHL,2004,10.26033
CHL,2005,9.76216
CHL,2006,10.11738
CHL,2007,11.04426
CHL,2008,12.29636
CHL,2009,12.75519
CHL,2010,11.71632
CHL,2011,11.78649
CHL,2012,10.6187
CHL,2013,9.9488
CHL,2014,10.13178
CHL,2015,10.32085
CHL,2016,10.29992
CHL,2017,10.05989
CHL,2018,9.52065
CHL,2019,9.76857
CHL,2020,8.25715
CHL,2021,7.69217
CHN,2000,15.48632
CHN,2001,15.13916
CHN,2002,14.92854
CHN,2003,15.01799
CHN,2004,15.00788
CHN,2005,14.22575
CHN,2006,13.01763
CHN,2007,12.17913
CHN,2008,11.60985
CHN,2009,11.10194
CHN,2010,10.5835
CHN,2011,9.97236
CHN,2012,9.40869
CHN,2013,9.07104
CHN,2014,8.85845
CHN,2015,8.68894
CHN,2016,8.64643
CHN,2017,8.6151
CHN,2018,8.70276
CHN,2019,8.74995
CHN,2020,8.82397
CHN,2021,8.94544
CIV,2000,5.91792
CIV,2001,5.83787
CIV,2002,5.7075
CIV,2003,5.64901
CIV,2004,5.14748
CIV,2005,5.17689
CIV,2006,5.28979
CIV,2007,5.48377
CIV,2008,5.81245
CIV,2009,6.68005
CIV,2010,7.93357
CIV,2011,8.49556
CIV,2012,8.79113
CIV,2013,8.92128
CIV,2014,8.60057
CIV,2015,8.05554
CIV,2016,7.81853
CIV,2017,7.68194
CIV,2018,7.71251
CIV,2019,7.75285
CIV,2020,7.2953
CIV,2021,7.39131
CMR,2000,7.28897
CMR,2001,7.89021
CMR,2002,7.79093
CMR,2003,7.87401
CMR,2004,7.71486
CMR,2005,7.8678
CMR,2006,7.867
CMR,2007,7.9478
CMR,2008,8.0165
CMR,2009,8.03975
CMR,2010,8.11856
CMR,2011,8.17724
CMR,2012,8.31613
CMR,2013,8.511
CMR,2014,8.6441
CMR,2015,8.4498
CMR,2016,8.34884
CMR,2017,8.19617
CMR,2018,8.1412
CMR,2019,8.22396
CMR,2020,7.90893
CMR,2021,8.49675
COD,2000,7.75583
COD,2001,7.80216
COD,2002,7.8738
COD,2003,8.05852
COD,2004,8.02687
COD,2005,7.99442
COD,2006,7.94341
COD,2007,8.12491
COD,2008,8.21169
COD,2009,8.04038
COD,2010,8.08097
COD,2011,8.0762
COD,2012,8.08455
COD,2013,8.1264
COD,2014,8.1914
COD,2015,8.20353
COD,2016,8.37074
COD,2017,8.60365
COD,2018,8.67577
COD,2019,8.32886
COD,2020,8.15426
COD,2021,8.76967
COG,2000,12.04382
COG,2001,10.6501
COG,2002,9.59354
COG,2003,8.9539
COG,2004,9.18856
COG,2005,8.94982
COG,2006,8.10855
COG,2007,8.13012
COG,2008,7.99058
COG,2009,8.25703
COG,2010,8.02551
COG,2011,7.74188
COG,2012,8.05718
COG,2013,7.62115
COG,2014,7.27611
COG,2015,6.71016
COG,2016,6.57815
