SpatialDimensionValueCode,TimeDim,NumericValue
LSO,2018,27.88441
YEM,2001,5.80351
AGO,2008,7.50081
PER,2015,0.96303
UZB,2016,12.321
JAM,2010,1.00952
BGR,2019,9.02124
NPL,2014,10.64528
IRN,2016,4.72463
WSM,2005,10.99423
TZA,2012,4.11078
COG,2020,6.55757
LBN,2021,0.70191
TON,2021,4.73476
LBR,2005,4.9542
SOM,2018,7.94606
CAF,2019,9.45452
NLD,2005,9.78626
TJK,2017,2.70203
LUX,2014,12.57068
VEN,2004,6.30082
PRT,2000,7.4978
LTU,2020,24.51666
LUX,2003,15.05935
BWA,2006,9.06527
IRQ,2004,3.85979
STP,2012,0.82287
OMN,2000,2.33135
SSD,2000,5.10583
KWT,2003,4.0115
ROU,2002,14.10143
TUN,2003,2.99454
COG,2001,10.6501
NPL,2011,10.41773
ATG,2020,0.77336
UZB,2021,8.34328
YEM,2015,4.70619
SEAR,2005,12.20086
LBY,2020,4.96354
NER,2018,4.51222
LVA,2013,20.75467
HTI,2000,8.29851
HTI,2015,8.12927
UKR,2001,33.33294
KEN,2016,4.97695
PSE,2018,0.68364
MMR,2013,3.14169
EUR,2019,13.14789
FRA,2013,16.98259
SWZ,2013,21.52755
TTO,2003,12.59251
CHN,2003,15.01799
FJI,2017,9.62857
LBY,2009,5.13278
TJK,2011,2.84604
LAO,2010,4.95592
PRY,2000,3.29878
ZWE,2017,15.12277
MMR,2020,2.89326
MMR,2012,3.19228
TZA,2007,4.51246
SWE,2001,15.94538
MDV,2013,2.59403
ZWE,2005,13.80665
MOZ,2013,9.83586
VEN,2005,5.93934
PRY,2017,6.23522
NLD,2011,10.07376
LKA,2017,15.19743
LSO,2009,15.8151
KIR,2013,20.97559
ARE,2000,2.44955
KIR,2014,20.41069
AUS,2004,10.78504
CMR,2007,7.9478
UGA,2009,5.30005
TTO,2017,13.516
WSM,2018,12.97878
NOR,2005,12.11945
USA,2016,14.62768
IRN,2001,5.87381
ROU,2021,9.62397
TKM,2001,10.38191
MUS,2018,8.97651
NAM,2013,8.9114
WB_UMI,2013,7.79367
BDI,2014,7.07799
KOR,2019,28.44276
FIN,2006,21.1038
BRA,2007,5.17613
KEN,2003,4.64424
NLD,2008,8.96719
SLB,2003,18.53177
AGO,2015,6.55582
CMR,2005,7.8678
MWI,2000,7.49018
GEO,2008,3.48635
MKD,2014,6.36082
MLT,2012,6.06015
BHS,2009,3.48192
GAB,2016,9.4206
WB_UMI,2010,8.65206
TKM,2018,6.98993
NAM,2014,9.62436
WB_HI,2008,16.9645
GNB,2018,7.09957
SLB,2012,20.81111
DZA,2000,4.18385
CRI,2006,7.94791
TUN,2002,3.0451
UZB,2005,13.60773
WPR,2018,9.36679
EST,2002,28.20872
SGP,2014,9.4332
BIH,2007,11.47947
PHL,2020,3.17072
PAK,2003,6.80361
CRI,2021,8.06209
WPR,2010,11.46222
COG,2016,6.57815
SLE,2019,6.14359
ARG,2014,9.52593
DEU,2006,12.78166
CYP,2018,5.56308
RWA,2015,7.83679
GMB,2009,4.67535
COD,2000,7.75583
JPN,2018,16.87458
QAT,2010,9.46976
CZE,2017,13.91021
NER,2016,4.49207
MDG,2020,6.30069
BRA,2001,4.70076
SEN,2001,6.52992
GHA,2015,5.48241
SVK,2001,13.94573
MRT,2016,2.75425
ISR,2021,4.36692
ERI,2014,13.06611
WB_UMI,2003,11.33995
WB_LI,2015,6.11185
BOL,2009,5.94043
TZA,2016,4.13232
LBN,2002,0.88597
PRY,2016,5.7792
ALB,2015,4.13076
ATG,2005,1.33919
PRI,2003,6.79663
AFR,2007,6.75118
BLZ,2004,6.18588
CHL,2009,12.75519
PRK,2011,10.00569
TUR,2017,3.35897
ARM,2007,5.98469
QAT,2006,9.44602
WB_LI,2014,6.0688
IRL,2013,11.11957
LBN,2008,0.84901
LVA,2011,22.77686
CMR,2001,7.89021
WB_LI,2006,6.09569
GMB,2021,4.81185
PRK,2008,9.1993
WB_HI,2005,17.83174
COG,2017,6.57299
KGZ,2016,9.04868
WSM,2002,11.57705
CHE,2001,19.7061
EST,2012,19.44204
ISR,2004,6.05875
HTI,2011,7.83591
ITA,2018,6.8916
URY,2005,14.97091
